t	xpz	ypz	zpz	xspt1	yspt1	xspt2	yspt2	vx	vy	vsum
1.732830E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.064957E+2	2.388340E+2	3.065193E+2	2.403201E+2	-1.434326E-2	6.225586E-2	-4.113464E+0
1.732832E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065518E+2	2.388089E+2	3.065966E+2	2.403130E+2	-1.129150E-2	6.225586E-2	-4.113159E+0
1.732834E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065518E+2	2.388089E+2	3.065966E+2	2.403130E+2	-1.098633E-2	6.134033E-2	-4.113770E+0
1.732836E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065436E+2	2.387799E+2	3.065917E+2	2.403121E+2	-7.324219E-3	5.920410E-2	-4.112244E+0
1.732838E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065436E+2	2.387799E+2	3.065917E+2	2.403121E+2	-8.239746E-3	5.859375E-2	-4.112854E+0
1.732840E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065280E+2	2.387462E+2	3.065732E+2	2.402955E+2	-1.190186E-2	5.798340E-2	-4.113159E+0
1.732842E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065280E+2	2.387462E+2	3.065732E+2	2.402955E+2	-8.544922E-3	5.828857E-2	-4.112549E+0
1.732844E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.064760E+2	2.387525E+2	3.065027E+2	2.403225E+2	-1.678467E-2	5.889893E-2	-4.112549E+0
1.732846E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.064760E+2	2.387525E+2	3.065027E+2	2.403225E+2	-2.319336E-2	5.706787E-2	-4.113159E+0
1.732848E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.064922E+2	2.387350E+2	3.065903E+2	2.402608E+2	-9.460449E-3	5.737305E-2	-4.112244E+0
1.732850E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.064922E+2	2.387350E+2	3.065903E+2	2.402608E+2	-3.051758E-4	5.584717E-2	-4.113464E+0
1.732852E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065082E+2	2.387497E+2	3.065407E+2	2.402885E+2	3.662109E-3	5.523682E-2	-4.112244E+0
1.732854E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065082E+2	2.387497E+2	3.065407E+2	2.402885E+2	1.220703E-3	5.523682E-2	-4.112244E+0
1.732856E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065559E+2	2.387648E+2	3.065120E+2	2.402755E+2	-1.525879E-3	5.584717E-2	-4.113159E+0
1.732858E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065559E+2	2.387648E+2	3.065120E+2	2.402755E+2	-1.007080E-2	5.676270E-2	-4.112244E+0
1.732860E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.063986E+2	2.387472E+2	3.064341E+2	2.403075E+2	-1.068115E-2	5.554199E-2	-4.113464E+0
1.732862E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.063986E+2	2.387472E+2	3.064341E+2	2.403075E+2	-1.281738E-2	5.615234E-2	-4.112854E+0
1.732864E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.064679E+2	2.387433E+2	3.064948E+2	2.402942E+2	-2.227783E-2	5.584717E-2	-4.111328E+0
1.732866E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.064679E+2	2.387433E+2	3.064948E+2	2.402942E+2	-2.746582E-2	5.493164E-2	-4.112854E+0
1.732868E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065369E+2	2.387915E+2	3.065703E+2	2.403055E+2	-2.838135E-2	5.615234E-2	-4.112244E+0
1.732870E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065369E+2	2.387915E+2	3.065703E+2	2.403055E+2	-2.899170E-2	5.859375E-2	-4.112244E+0
1.732872E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065255E+2	2.388224E+2	3.065601E+2	2.403430E+2	-3.326416E-2	5.889893E-2	-4.112244E+0
1.732874E+4	2.242943E+1	2.637207E+1	7.682292E+0	3.065255E+2	2.388224E+2	3.065601E+2	2.403430E+2	-2.044678E-2	5.981445E-2	-4.111938E+0
