t	xpz	ypz	zpz	xspt1	yspt1	xspt2	yspt2	vx	vy	vsum
1.628178E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069729E+2	2.393623E+2	3.068627E+2	2.388546E+2	8.850098E-3	6.164551E-2	-4.138489E+0
1.628180E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069729E+2	2.393623E+2	3.068627E+2	2.388546E+2	6.408691E-3	6.164551E-2	-4.137573E+0
1.628182E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068266E+2	2.393760E+2	3.067828E+2	2.388928E+2	6.408691E-3	6.164551E-2	-4.138794E+0
1.628184E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068266E+2	2.393760E+2	3.067828E+2	2.388928E+2	2.136230E-3	6.042480E-2	-4.138489E+0
1.628186E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068266E+2	2.393760E+2	3.067828E+2	2.388928E+2	1.220703E-3	6.011963E-2	-4.137573E+0
1.628188E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068266E+2	2.393760E+2	3.067828E+2	2.388928E+2	3.967285E-3	5.950928E-2	-4.138489E+0
1.628190E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068800E+2	2.393720E+2	3.068187E+2	2.388500E+2	7.934570E-3	5.828857E-2	-4.138794E+0
1.628192E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068800E+2	2.393720E+2	3.068187E+2	2.388500E+2	1.068115E-2	5.737305E-2	-4.138489E+0
1.628194E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068995E+2	2.393377E+2	3.068037E+2	2.388172E+2	1.464844E-2	5.584717E-2	-4.139709E+0
1.628196E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068995E+2	2.393377E+2	3.068037E+2	2.388172E+2	1.708984E-2	5.401611E-2	-4.138489E+0
1.628198E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069438E+2	2.393200E+2	3.068437E+2	2.388351E+2	1.678467E-2	5.279541E-2	-4.138184E+0
1.628200E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069438E+2	2.393200E+2	3.068437E+2	2.388351E+2	8.850098E-3	5.187988E-2	-4.138489E+0
1.628202E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068441E+2	2.394226E+2	3.067671E+2	2.388951E+2	-9.155273E-4	5.004883E-2	-4.137878E+0
1.628204E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068441E+2	2.394226E+2	3.067671E+2	2.388951E+2	9.155273E-4	4.974365E-2	-4.138184E+0
1.628206E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068335E+2	2.393908E+2	3.067531E+2	2.389078E+2	3.967285E-3	5.004883E-2	-4.137573E+0
1.628208E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068335E+2	2.393908E+2	3.067531E+2	2.389078E+2	4.272461E-3	4.974365E-2	-4.137878E+0
1.628210E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068543E+2	2.394307E+2	3.067615E+2	2.389173E+2	7.629395E-3	5.065918E-2	-4.138184E+0
1.628212E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068543E+2	2.394307E+2	3.067615E+2	2.389173E+2	1.190186E-2	5.187988E-2	-4.138184E+0
1.628214E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069580E+2	2.393416E+2	3.068815E+2	2.388306E+2	7.324219E-3	5.218506E-2	-4.138489E+0
1.628216E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069580E+2	2.393416E+2	3.068815E+2	2.388306E+2	1.831055E-2	5.462646E-2	-4.137573E+0
1.628218E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069813E+2	2.394020E+2	3.068752E+2	2.389067E+2	1.190186E-2	5.523682E-2	-4.137268E+0
1.628220E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069813E+2	2.394020E+2	3.068752E+2	2.389067E+2	5.187988E-3	5.584717E-2	-4.138489E+0
1.628222E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069180E+2	2.393971E+2	3.068252E+2	2.388913E+2	1.098633E-2	5.981445E-2	-4.138489E+0
1.628224E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069180E+2	2.393971E+2	3.068252E+2	2.388913E+2	6.408691E-3	6.225586E-2	-4.138794E+0
1.628226E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068837E+2	2.393962E+2	3.067840E+2	2.389165E+2	1.586914E-2	6.347656E-2	-4.138489E+0
1.628228E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068837E+2	2.393962E+2	3.067840E+2	2.389165E+2	1.464844E-2	6.286621E-2	-4.138794E+0
1.628230E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068725E+2	2.394044E+2	3.067486E+2	2.388960E+2	1.617432E-2	6.256104E-2	-4.138794E+0
1.628232E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068725E+2	2.394044E+2	3.067486E+2	2.388960E+2	1.953125E-2	6.378174E-2	-4.139099E+0
1.628234E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068370E+2	2.393992E+2	3.067896E+2	2.389044E+2	1.953125E-2	6.439209E-2	-4.138794E+0
1.628236E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068370E+2	2.393992E+2	3.067896E+2	2.389044E+2	4.882812E-3	6.317139E-2	-4.138184E+0
1.628238E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068627E+2	2.393822E+2	3.067660E+2	2.388730E+2	4.272461E-3	6.378174E-2	-4.138184E+0
1.628240E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068627E+2	2.393822E+2	3.067660E+2	2.388730E+2	7.934570E-3	6.347656E-2	-4.138184E+0
1.628242E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068735E+2	2.394242E+2	3.068201E+2	2.388853E+2	3.356934E-3	6.469727E-2	-4.137878E+0
1.628244E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068735E+2	2.394242E+2	3.068201E+2	2.388853E+2	1.007080E-2	6.317139E-2	-4.138184E+0
1.628246E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068327E+2	2.393875E+2	3.067351E+2	2.388839E+2	1.281738E-2	6.286621E-2	-4.139099E+0
1.628248E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068327E+2	2.393875E+2	3.067351E+2	2.388839E+2	2.349854E-2	6.347656E-2	-4.138489E+0
1.628250E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069275E+2	2.393875E+2	3.067776E+2	2.388823E+2	2.502441E-2	6.195068E-2	-4.138489E+0
1.628252E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069275E+2	2.393875E+2	3.067776E+2	2.388823E+2	2.136230E-2	6.072998E-2	-4.138184E+0
1.628254E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068245E+2	2.392993E+2	3.067531E+2	2.387796E+2	1.892090E-2	5.859375E-2	-4.137878E+0
1.628256E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068245E+2	2.392993E+2	3.067531E+2	2.387796E+2	2.136230E-2	5.706787E-2	-4.136658E+0
1.628258E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068671E+2	2.393624E+2	3.067912E+2	2.388732E+2	1.953125E-2	5.493164E-2	-4.137268E+0
1.628260E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068671E+2	2.393624E+2	3.067912E+2	2.388732E+2	8.544922E-3	5.340576E-2	-4.138489E+0
1.628262E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068368E+2	2.392992E+2	3.067798E+2	2.387980E+2	1.159668E-2	5.767822E-2	-4.137573E+0
1.628264E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.068368E+2	2.392992E+2	3.067798E+2	2.387980E+2	1.251221E-2	6.134033E-2	-4.137573E+0
1.628266E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069034E+2	2.393540E+2	3.067965E+2	2.388674E+2	3.662109E-3	6.042480E-2	-4.136963E+0
1.628268E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069034E+2	2.393540E+2	3.067965E+2	2.388674E+2	5.187988E-3	5.706787E-2	-4.137573E+0
1.628270E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069127E+2	2.393505E+2	3.067983E+2	2.388361E+2	1.342773E-2	5.645752E-2	-4.137268E+0
1.628272E+4	1.841669E+1	2.657750E+1	7.864583E+0	3.069127E+2	2.393505E+2	3.067983E+2	2.388361E+2	1.525879E-2	5.676270E-2	-4.138184E+0
