t	xpz	ypz	zpz	xspt1	yspt1	xspt2	yspt2	vx	vy	vsum
2.229980E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063616E+2	2.390966E+2	3.053879E+2	2.375957E+2	2.563477E-2	3.021240E-2	-4.076233E+0
2.229982E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063148E+2	2.390434E+2	3.054023E+2	2.376121E+2	3.417969E-2	3.295898E-2	-4.076843E+0
2.229984E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063148E+2	2.390434E+2	3.054023E+2	2.376121E+2	3.723145E-2	3.265381E-2	-4.077148E+0
2.229986E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.064065E+2	2.390401E+2	3.054572E+2	2.375250E+2	3.387451E-2	3.265381E-2	-4.076843E+0
2.229988E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.064065E+2	2.390401E+2	3.054572E+2	2.375250E+2	2.410889E-2	3.204346E-2	-4.075623E+0
2.229990E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063114E+2	2.390434E+2	3.053155E+2	2.376282E+2	1.556396E-2	2.990723E-2	-4.075623E+0
2.229992E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063114E+2	2.390434E+2	3.053155E+2	2.376282E+2	1.525879E-2	3.082275E-2	-4.076843E+0
2.229994E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063750E+2	2.390663E+2	3.053343E+2	2.375449E+2	1.647949E-2	3.112793E-2	-4.076233E+0
2.229996E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063750E+2	2.390663E+2	3.053343E+2	2.375449E+2	1.892090E-2	2.899170E-2	-4.077148E+0
2.229998E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.064626E+2	2.390745E+2	3.054209E+2	2.376045E+2	2.655029E-2	2.868652E-2	-4.077148E+0
2.230000E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.064626E+2	2.390745E+2	3.054209E+2	2.376045E+2	3.021240E-2	2.777100E-2	-4.076538E+0
2.230002E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.064739E+2	2.390727E+2	3.054097E+2	2.375981E+2	4.180908E-2	2.716064E-2	-4.077759E+0
2.230004E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.064739E+2	2.390727E+2	3.054097E+2	2.375981E+2	4.455566E-2	2.563477E-2	-4.076233E+0
2.230006E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.064311E+2	2.390891E+2	3.053080E+2	2.376284E+2	3.570557E-2	2.380371E-2	-4.077148E+0
2.230008E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.064311E+2	2.390891E+2	3.053080E+2	2.376284E+2	2.807617E-2	2.227783E-2	-4.076843E+0
2.230010E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.062762E+2	2.390284E+2	3.053547E+2	2.376612E+2	1.861572E-2	2.014160E-2	-4.075623E+0
2.230012E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.062762E+2	2.390284E+2	3.053547E+2	2.376612E+2	2.380371E-2	2.258301E-2	-4.076843E+0
2.230014E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063470E+2	2.390682E+2	3.053953E+2	2.375575E+2	2.349854E-2	2.166748E-2	-4.075623E+0
2.230016E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063470E+2	2.390682E+2	3.053953E+2	2.375575E+2	2.655029E-2	2.075195E-2	-4.075317E+0
2.230018E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063787E+2	2.390271E+2	3.053769E+2	2.375814E+2	3.997803E-2	2.105713E-2	-4.075317E+0
2.230020E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063787E+2	2.390271E+2	3.053769E+2	2.375814E+2	3.967285E-2	2.044678E-2	-4.075012E+0
2.230022E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.064124E+2	2.390674E+2	3.053956E+2	2.375877E+2	3.326416E-2	1.770020E-2	-4.075928E+0
2.230024E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.064124E+2	2.390674E+2	3.053956E+2	2.375877E+2	3.601074E-2	1.861572E-2	-4.075928E+0
2.230026E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063016E+2	2.390562E+2	3.053233E+2	2.376008E+2	3.326416E-2	1.953125E-2	-4.075317E+0
2.230028E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063016E+2	2.390562E+2	3.053233E+2	2.376008E+2	2.471924E-2	1.953125E-2	-4.075317E+0
2.230030E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063641E+2	2.390693E+2	3.053334E+2	2.376450E+2	2.624512E-2	1.892090E-2	-4.076233E+0
2.230032E+4	2.952602E+1	2.558594E+1	6.041667E+0	3.063641E+2	2.390693E+2	3.053334E+2	2.376450E+2	2.960205E-2	2.105713E-2	-4.075012E+0
