t	xpz	ypz	zpz	xspt1	yspt1	xspt2	yspt2	vx	vy	vsum
2.197406E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066345E+2	2.394945E+2	3.065552E+2	2.399651E+2	1.242065E-1	5.737305E-2	-4.093323E+0
2.197408E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066345E+2	2.394945E+2	3.065552E+2	2.399651E+2	1.232910E-1	5.676270E-2	-4.093323E+0
2.197410E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066394E+2	2.395110E+2	3.065876E+2	2.400012E+2	1.052856E-1	5.462646E-2	-4.093323E+0
2.197412E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066394E+2	2.395110E+2	3.065876E+2	2.400012E+2	1.092529E-1	5.432129E-2	-4.093323E+0
2.197414E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.065896E+2	2.394964E+2	3.065471E+2	2.399878E+2	1.211548E-1	5.432129E-2	-4.092407E+0
2.197416E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.065896E+2	2.394964E+2	3.065471E+2	2.399878E+2	1.187134E-1	5.340576E-2	-4.092712E+0
2.197418E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066812E+2	2.394738E+2	3.066503E+2	2.399384E+2	1.214600E-1	5.126953E-2	-4.092407E+0
2.197420E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066812E+2	2.394738E+2	3.066503E+2	2.399384E+2	1.266479E-1	4.852295E-2	-4.092407E+0
2.197422E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066663E+2	2.395052E+2	3.066079E+2	2.399777E+2	1.239014E-1	4.394531E-2	-4.093018E+0
2.197424E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066663E+2	2.395052E+2	3.066079E+2	2.399777E+2	1.260376E-1	4.394531E-2	-4.092407E+0
2.197426E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066656E+2	2.395021E+2	3.066148E+2	2.399784E+2	1.251221E-1	4.486084E-2	-4.092407E+0
2.197428E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066656E+2	2.395021E+2	3.066148E+2	2.399784E+2	1.126099E-1	4.241943E-2	-4.091797E+0
2.197430E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066865E+2	2.395141E+2	3.066032E+2	2.399998E+2	1.150513E-1	4.333496E-2	-4.093018E+0
2.197432E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066865E+2	2.395141E+2	3.066032E+2	2.399998E+2	1.177979E-1	4.394531E-2	-4.093018E+0
2.197434E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066301E+2	2.394885E+2	3.065766E+2	2.399811E+2	1.217651E-1	4.364014E-2	-4.093018E+0
2.197436E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066301E+2	2.394885E+2	3.065766E+2	2.399811E+2	1.193237E-1	4.364014E-2	-4.093323E+0
2.197438E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.067207E+2	2.395141E+2	3.066214E+2	2.399942E+2	1.184082E-1	4.333496E-2	-4.093933E+0
2.197440E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.067207E+2	2.395141E+2	3.066214E+2	2.399942E+2	1.190186E-1	4.333496E-2	-4.093628E+0
2.197442E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066345E+2	2.395354E+2	3.066226E+2	2.400004E+2	1.165771E-1	4.486084E-2	-4.094238E+0
2.197444E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066345E+2	2.395354E+2	3.066226E+2	2.400004E+2	1.199341E-1	4.516602E-2	-4.094849E+0
2.197446E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066240E+2	2.395114E+2	3.065979E+2	2.400011E+2	1.144409E-1	4.486084E-2	-4.094543E+0
2.197448E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066240E+2	2.395114E+2	3.065979E+2	2.400011E+2	1.153564E-1	4.608154E-2	-4.095154E+0
2.197450E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066929E+2	2.395120E+2	3.066515E+2	2.399926E+2	1.309204E-1	4.791260E-2	-4.094543E+0
2.197452E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066929E+2	2.395120E+2	3.066515E+2	2.399926E+2	1.342773E-1	4.882812E-2	-4.095154E+0
2.197454E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.067097E+2	2.394854E+2	3.066971E+2	2.399533E+2	1.300049E-1	5.004883E-2	-4.094849E+0
2.197456E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.067097E+2	2.394854E+2	3.066971E+2	2.399533E+2	1.284790E-1	5.126953E-2	-4.095154E+0
2.197458E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066863E+2	2.395298E+2	3.065995E+2	2.400005E+2	1.336670E-1	5.218506E-2	-4.095154E+0
2.197460E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066863E+2	2.395298E+2	3.065995E+2	2.400005E+2	1.278687E-1	5.218506E-2	-4.096375E+0
2.197462E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066114E+2	2.395097E+2	3.065864E+2	2.399991E+2	1.306152E-1	5.218506E-2	-4.096680E+0
2.197464E+4	3.451767E+1	2.556571E+1	6.171875E+0	3.066114E+2	2.395097E+2	3.065864E+2	2.399991E+2	1.303101E-1	5.126953E-2	-4.095764E+0
