t	xpz	ypz	zpz	xspt1	yspt1	xspt2	yspt2	vx	vy	vsum
2.028040E+4	2.239711E+1	2.602167E+1	7.005208E+0	3.055736E+2	2.377501E+2	3.061299E+2	2.377711E+2	4.364014E-2	4.913330E-2	-4.109802E+0
2.028042E+4	2.239711E+1	2.602167E+1	7.005208E+0	3.055707E+2	2.377574E+2	3.061743E+2	2.377638E+2	3.967285E-2	4.821777E-2	-4.109497E+0
2.028044E+4	2.239711E+1	2.602167E+1	7.005208E+0	3.055707E+2	2.377574E+2	3.061743E+2	2.377638E+2	3.753662E-2	4.882812E-2	-4.108276E+0
2.028046E+4	2.239711E+1	2.602167E+1	7.005208E+0	3.055947E+2	2.377060E+2	3.061541E+2	2.377366E+2	4.211426E-2	5.035400E-2	-4.105835E+0
2.028048E+4	2.239711E+1	2.602167E+1	7.005208E+0	3.055947E+2	2.377060E+2	3.061541E+2	2.377366E+2	4.486084E-2	5.218506E-2	-4.104004E+0
2.028050E+4	2.239711E+1	2.602167E+1	7.005208E+0	3.056247E+2	2.376930E+2	3.061437E+2	2.377016E+2	3.906250E-2	5.218506E-2	-4.104004E+0
2.028052E+4	2.239711E+1	2.602167E+1	7.005208E+0	3.056247E+2	2.376930E+2	3.061437E+2	2.377016E+2	3.723145E-2	5.157471E-2	-4.102173E+0
2.028054E+4	2.239711E+1	2.602167E+1	7.005208E+0	3.055269E+2	2.376590E+2	3.060332E+2	2.376860E+2	4.241943E-2	5.279541E-2	-4.102478E+0
2.028056E+4	2.239711E+1	2.602167E+1	7.005208E+0	3.055269E+2	2.376590E+2	3.060332E+2	2.376860E+2	3.997803E-2	5.157471E-2	-4.102173E+0
2.028058E+4	2.239711E+1	2.602167E+1	7.005208E+0	3.055989E+2	2.376965E+2	3.061281E+2	2.377531E+2	3.631592E-2	5.157471E-2	-4.100342E+0
2.028060E+4	2.239711E+1	2.602167E+1	7.005208E+0	3.055989E+2	2.376965E+2	3.061281E+2	2.377531E+2	3.662109E-2	5.157471E-2	-4.100647E+0
