t	xpz	ypz	zpz	xspt1	yspt1	xspt2	yspt2	vx	vy	vsum
1.919972E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.068155E+2	2.407838E+2	3.074440E+2	2.402017E+2	-6.256104E-2	5.584717E-2	-4.111328E+0
1.919974E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.068155E+2	2.407838E+2	3.074440E+2	2.402017E+2	-6.317139E-2	5.401611E-2	-4.110718E+0
1.919976E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067507E+2	2.407514E+2	3.074012E+2	2.401649E+2	-4.882812E-2	5.401611E-2	-4.110718E+0
1.919978E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067507E+2	2.407514E+2	3.074012E+2	2.401649E+2	-6.042480E-2	5.340576E-2	-4.110718E+0
1.919980E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067925E+2	2.407549E+2	3.073746E+2	2.401711E+2	-6.958008E-2	5.035400E-2	-4.110718E+0
1.919982E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067925E+2	2.407549E+2	3.073746E+2	2.401711E+2	-7.690430E-2	5.249023E-2	-4.110107E+0
1.919984E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067037E+2	2.407002E+2	3.073634E+2	2.402013E+2	-8.972168E-2	5.218506E-2	-4.110107E+0
1.919986E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067037E+2	2.407002E+2	3.073634E+2	2.402013E+2	-8.789062E-2	5.249023E-2	-4.111328E+0
1.919988E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067854E+2	2.407540E+2	3.074030E+2	2.401787E+2	-7.873535E-2	5.340576E-2	-4.111023E+0
1.919990E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067854E+2	2.407540E+2	3.074030E+2	2.401787E+2	-6.134033E-2	5.676270E-2	-4.111023E+0
1.919992E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067590E+2	2.407377E+2	3.073811E+2	2.401675E+2	-5.706787E-2	5.737305E-2	-4.110413E+0
1.919994E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067590E+2	2.407377E+2	3.073811E+2	2.401675E+2	-5.157471E-2	5.767822E-2	-4.111328E+0
1.919996E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067057E+2	2.407485E+2	3.073777E+2	2.401729E+2	-5.340576E-2	5.828857E-2	-4.110718E+0
1.919998E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067057E+2	2.407485E+2	3.073777E+2	2.401729E+2	-6.439209E-2	5.828857E-2	-4.109497E+0
1.920000E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.066719E+2	2.407178E+2	3.073145E+2	2.401340E+2	-7.812500E-2	5.889893E-2	-4.109497E+0
1.920002E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.066719E+2	2.407178E+2	3.073145E+2	2.401340E+2	-8.270264E-2	6.011963E-2	-4.110107E+0
1.920004E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.066479E+2	2.407304E+2	3.072821E+2	2.401732E+2	-8.087158E-2	5.981445E-2	-4.109192E+0
1.920006E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.066479E+2	2.407304E+2	3.072821E+2	2.401732E+2	-8.056641E-2	6.072998E-2	-4.110718E+0
1.920008E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.068065E+2	2.406720E+2	3.073851E+2	2.401493E+2	-6.500244E-2	6.134033E-2	-4.109497E+0
1.920010E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.068065E+2	2.406720E+2	3.073851E+2	2.401493E+2	-5.889893E-2	6.072998E-2	-4.109497E+0
1.920012E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067836E+2	2.407222E+2	3.074363E+2	2.401476E+2	-5.920410E-2	6.072998E-2	-4.109497E+0
1.920014E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067836E+2	2.407222E+2	3.074363E+2	2.401476E+2	-6.744385E-2	5.889893E-2	-4.109497E+0
1.920016E+4	2.251209E+1	2.616188E+1	7.395833E+0	3.067488E+2	2.407319E+2	3.072722E+2	2.401323E+2	-8.300781E-2	5.737305E-2	-4.108887E+0
